ID,Тип,Артикул,"GTIN, UPC, EAN или ISBN",Имя,Опубликован,Рекомендуемый?,Видимость в каталоге,Краткое описание,Описание,Дата начала действия скидки,Дата окончания действия скидки,Статус налога,Налоговый класс,Наличие,Запасы,Величина малых запасов,Возможен ли предзаказ?,Продано индивидуально?,Вес (кг),Длина (см),Ширина (см),Высота (см),Разрешить отзывы от клиентов?,Примечание к покупке,Акционная цена,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит скачивания,Дней срока скачивания,Родительский,Сгруппированные товары,Апсэлы,Кросселы,Внешний URL,Текст кнопки,Позиция,Бренды,Мета: _eael_post_view_count,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Мета: _uwp_source_url,Мета: _uwp_content_hash
,simple,,,AQUASOFT Ultra,1,0,visible,<ul><li>6 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,278990,418485,,,,https://habarovsk.vagner-ural.ru/media/product/2025/03/01/imgonline-com-ua-Resize-TJO3TZMmyO.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquasoft-ultra/,4ca2a96998de16ae4f3c691b28bdb92c
,simple,,,AQUASOFT Liberty,1,0,visible,<ul><li>2 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,390000,585000,,,,https://habarovsk.vagner-ural.ru/media/product/2025/11/23/%D0%9B%D0%B8%D0%B1%D0%B5%D1%80%D1%82%D0%B8.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquasoft-liberty/,fcb58315a0709a570972091f64ca31cc
,simple,,,AQUASOFT Semi,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,182990,274485,,,,https://habarovsk.vagner-ural.ru/media/product/2023/01/22/semi-0.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/polupromyshlennyj-aquila-semi-6/,5553c2a66de5a566d323594b8aae3dc6
,simple,,,AQUASOFT Semi-Pro,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,274990,412485,,,,https://habarovsk.vagner-ural.ru/media/product/2023/01/22/semi-pro-0.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kommercheskij-aquila-semi-pro/,53aac4558f74155feaba8da17a52518c
,simple,,,AQUASOFT Dispenser,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,311990,467985,,,,https://habarovsk.vagner-ural.ru/media/product/2023/01/22/242aff168f21d2c5c18c0be346d1c87d.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kommercheskij-aquila-dispenser/,2e4fce01cf0d0c029f4468ba5079d882
,simple,,,AQUASOFT Pro,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,421990,632985,,,,https://habarovsk.vagner-ural.ru/media/product/2023/01/22/Pro-1.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kommercheskij-aquila-pro/,2cb8a3de4eeab4608bd6259a49ed4b5e
,simple,,,AQUASOFT Flat,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,102990,154485,,,,https://habarovsk.vagner-ural.ru/media/product/2023/06/06/flat-1.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquila-flat/,dbb90b6a68da758c10a4601e01dfa9ce
,simple,,,AQUASOFT Complex,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,330000,495000,,,,https://habarovsk.vagner-ural.ru/media/product/2023/06/06/complex-1.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquila-complex/,1ec322b87f863fc343455df8ec14db32
,simple,,,Кран AQUASOFT,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,14000,21000,,,,https://habarovsk.vagner-ural.ru/media/product/2023/06/07/6484620695.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/kran-aquila/,7f337012b5c733b6f1cf16408c5cf9b2
,simple,,,Бак AQUASOFT-8,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15000,22500,,,,https://habarovsk.vagner-ural.ru/media/product/2022/12/12/577A6841-min_gNjwmR9.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/bak-aquila-8/,fbb76dca92caf8ee2ec0c6f6ba15b3ea
,simple,,,Бак AQUASOFT-12,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,18000,27000,,,,https://habarovsk.vagner-ural.ru/media/product/2022/12/12/577A6843-min_gMTPogo.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/bak-aquila-12/,37b93f5f1674aeedcaab3c3b227a68e9
,simple,,,к-т стандарт (5шт),1,0,visible,<ul><li>5 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,19000,28500,,,,https://habarovsk.vagner-ural.ru/media/product/2022/12/12/577A6771-min-min.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/nabor-kartridzhej-5-stupenej/,1c8f8363d0bca8a6935059cecede7fef
,simple,,,к-т стандарт (6шт),1,0,visible,<ul><li>6 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,25000,37500,,,,https://habarovsk.vagner-ural.ru/media/product/2022/12/12/577A6765-min-min.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/nabor-kartridzhej-6-stupenej/,7f30ee94323a574c1606afd211b0f7ec
,simple,,,к-т InLine (6шт),1,0,visible,<ul><li>6 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,28500,42750,,,,https://habarovsk.vagner-ural.ru/media/product/2024/09/01/%D0%94%D0%B8%D0%B7%D0%B0%D0%B8%D0%BD_%D0%B1%D0%B5%D0%B7_%D0%BD%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F_7.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-bystrosemnyh-6sht/,59230fa7da70bf87bd793f0a9147e085
,simple,,,к-т InLine (5шт),1,0,visible,<ul><li>5 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,22500,33750,,,,https://habarovsk.vagner-ural.ru/media/product/2024/09/01/%D0%94%D0%B8%D0%B7%D0%B0%D0%B8%D0%BD_%D0%B1%D0%B5%D0%B7_%D0%BD%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F_6.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-inline-5sht/,90e52411b156578c782fb367aee2986c
,simple,,,к-т InLine (3шт),1,0,visible,<ul><li>3 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,10500,15750,,,,https://habarovsk.vagner-ural.ru/media/product/2024/09/01/85755819360286_DWKQsPe.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-inline-3sht/,15b310cd0d647d28224dc42a9920ddb4
,simple,,,к-т стандарт (3шт),1,0,visible,<ul><li>3 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,7000,10500,,,,https://habarovsk.vagner-ural.ru/media/product/2024/09/01/qmx8hjjd3obt9ndxz0f1kgkom2ucn0bc.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-standart-3sht/,e3651acd6cd755a8f88f339b1061f45f
,simple,,,к-т PurePro RS (3шт),1,0,visible,<ul><li>3 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,29000,43500,,,,https://habarovsk.vagner-ural.ru/media/product/2024/11/14/84095933677598_1.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-purepro-rs-3sht/,f76da47657c4fc8e15b2b48c03f95fc3
,simple,,,к-т PurePro RS (8шт),1,0,visible,<ul><li>8 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,78000,117000,,,,https://habarovsk.vagner-ural.ru/media/product/2024/11/14/7543596.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-purepro-rs-8sht/,f01436fa779c027f20eb6c660d40922b
,simple,,,к-т Bluefilters (3шт),1,0,visible,<ul><li>3 картриджа в комплекте</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,29000,43500,,,,https://habarovsk.vagner-ural.ru/media/product/2024/11/14/dinth8ee23sow8g4ksw40wk80ow4ow.jpeg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/k-t-bluefilters-3sht/,a114954d0e28338999e534c5a0a8543b
